"Step","summer-firefly-1 - train_accuracy","summer-firefly-1 - train_accuracy__MIN","summer-firefly-1 - train_accuracy__MAX","summer-firefly-1 - val_accuracy","summer-firefly-1 - val_accuracy__MIN","summer-firefly-1 - val_accuracy__MAX"
"397","0.6835135135135136","0.6835135135135136","0.6835135135135136","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"399","0.6902702702702701","0.6902702702702701","0.6902702702702701","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"401","0.6943243243243243","0.6943243243243243","0.6943243243243243","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"403","0.7024324324324325","0.7024324324324325","0.7024324324324325","0.8000000000000004","0.8000000000000004","0.8000000000000004"
"405","0.7140540540540539","0.7140540540540539","0.7140540540540539","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"407","0.7135135135135133","0.7135135135135133","0.7135135135135133","0.7699999999999997","0.7699999999999997","0.7699999999999997"
"409","0.7070270270270271","0.7070270270270271","0.7070270270270271","0.7800000000000004","0.7800000000000004","0.7800000000000004"
"411","0.718108108108108","0.718108108108108","0.718108108108108","0.7899999999999995","0.7899999999999995","0.7899999999999995"
"413","0.716756756756757","0.716756756756757","0.716756756756757","0.8200000000000002","0.8200000000000002","0.8200000000000002"
"415","0.7275675675675677","0.7275675675675677","0.7275675675675677","0.84","0.84","0.84"
"417","0.722972972972973","0.722972972972973","0.722972972972973","0.8500000000000005","0.8500000000000005","0.8500000000000005"
"419","0.7294594594594594","0.7294594594594594","0.7294594594594594","0.8700000000000003","0.8700000000000003","0.8700000000000003"
"421","0.7205405405405404","0.7205405405405404","0.7205405405405404","0.8599999999999997","0.8599999999999997","0.8599999999999997"
"423","0.7332432432432434","0.7332432432432434","0.7332432432432434","0.8700000000000003","0.8700000000000003","0.8700000000000003"
"425","0.7410810810810811","0.7410810810810811","0.7410810810810811","0.8700000000000003","0.8700000000000003","0.8700000000000003"
"427","0.7467567567567569","0.7467567567567569","0.7467567567567569","0.8599999999999997","0.8599999999999997","0.8599999999999997"
"429","0.7432432432432432","0.7432432432432432","0.7432432432432432","0.8700000000000003","0.8700000000000003","0.8700000000000003"
"431","0.7624324324324323","0.7624324324324323","0.7624324324324323","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"433","0.7578378378378376","0.7578378378378376","0.7578378378378376","0.8900000000000003","0.8900000000000003","0.8900000000000003"
"435","0.775135135135135","0.775135135135135","0.775135135135135","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"437","0.773783783783784","0.773783783783784","0.773783783783784","0.8900000000000003","0.8900000000000003","0.8900000000000003"
"439","0.7762162162162162","0.7762162162162162","0.7762162162162162","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"441","0.7781081081081082","0.7781081081081082","0.7781081081081082","0.8900000000000003","0.8900000000000003","0.8900000000000003"
"443","0.7848648648648648","0.7848648648648648","0.7848648648648648","0.8799999999999997","0.8799999999999997","0.8799999999999997"
"445","0.7808108108108108","0.7808108108108108","0.7808108108108108","0.8700000000000003","0.8700000000000003","0.8700000000000003"
"447","0.7827027027027028","0.7827027027027028","0.7827027027027028","0.9200000000000009","0.9200000000000009","0.9200000000000009"
"449","0.7897297297297298","0.7897297297297298","0.7897297297297298","0.9200000000000009","0.9200000000000009","0.9200000000000009"
"451","0.7962162162162161","0.7962162162162161","0.7962162162162161","0.9299999999999999","0.9299999999999999","0.9299999999999999"
"453","0.7913513513513514","0.7913513513513514","0.7913513513513514","0.9299999999999999","0.9299999999999999","0.9299999999999999"
"455","0.8013513513513513","0.8013513513513513","0.8013513513513513","0.9499999999999997","0.9499999999999997","0.9499999999999997"
"457","0.7978378378378377","0.7978378378378377","0.7978378378378377","0.9400000000000002","0.9400000000000002","0.9400000000000002"
"459","0.8040540540540541","0.8040540540540541","0.8040540540540541","0.9499999999999997","0.9499999999999997","0.9499999999999997"
"461","0.8029729729729731","0.8029729729729731","0.8029729729729731","0.9200000000000009","0.9200000000000009","0.9200000000000009"
"463","0.8081081081081082","0.8081081081081082","0.8081081081081082","0.9099999999999998","0.9099999999999998","0.9099999999999998"
"465","0.8075675675675674","0.8075675675675674","0.8075675675675674","0.9299999999999999","0.9299999999999999","0.9299999999999999"
"467","0.8154054054054052","0.8154054054054052","0.8154054054054052","0.9099999999999998","0.9099999999999998","0.9099999999999998"
"469","0.8181081081081079","0.8181081081081079","0.8181081081081079","0.8900000000000003","0.8900000000000003","0.8900000000000003"
"471","0.8162162162162163","0.8162162162162163","0.8162162162162163","0.8999999999999994","0.8999999999999994","0.8999999999999994"
"473","0.821081081081081","0.821081081081081","0.821081081081081","0.9099999999999998","0.9099999999999998","0.9099999999999998"
"475","0.8256756756756755","0.8256756756756755","0.8256756756756755","0.9400000000000002","0.9400000000000002","0.9400000000000002"
"477","0.8289189189189189","0.8289189189189189","0.8289189189189189","0.9299999999999999","0.9299999999999999","0.9299999999999999"
"479","0.8294594594594594","0.8294594594594594","0.8294594594594594","0.9299999999999999","0.9299999999999999","0.9299999999999999"
"481","0.8405405405405403","0.8405405405405403","0.8405405405405403","0.9299999999999999","0.9299999999999999","0.9299999999999999"
"483","0.8391891891891892","0.8391891891891892","0.8391891891891892","0.9400000000000002","0.9400000000000002","0.9400000000000002"
"485","0.8456756756756754","0.8456756756756754","0.8456756756756754","0.9299999999999999","0.9299999999999999","0.9299999999999999"
"487","0.8464864864864863","0.8464864864864863","0.8464864864864863","0.9299999999999999","0.9299999999999999","0.9299999999999999"
"489","0.8416216216216216","0.8416216216216216","0.8416216216216216","0.9400000000000002","0.9400000000000002","0.9400000000000002"
