"Step","eager-shadow-1 - train_accuracy","eager-shadow-1 - train_accuracy__MIN","eager-shadow-1 - train_accuracy__MAX","eager-shadow-1 - val_accuracy","eager-shadow-1 - val_accuracy__MIN","eager-shadow-1 - val_accuracy__MAX"
"267","0.9270270270270271","0.9270270270270271","0.9270270270270271","1","1","1"
"269","0.9294594594594595","0.9294594594594595","0.9294594594594595","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"271","0.9400000000000001","0.9400000000000001","0.9400000000000001","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"273","0.9354054054054052","0.9354054054054052","0.9354054054054052","1","1","1"
"275","0.9183783783783783","0.9183783783783783","0.9183783783783783","1","1","1"
"277","0.9327027027027028","0.9327027027027028","0.9327027027027028","1","1","1"
"279","0.9197297297297293","0.9197297297297293","0.9197297297297293","1","1","1"
"281","0.9232432432432437","0.9232432432432437","0.9232432432432437","1","1","1"
"283","0.9335135135135139","0.9335135135135139","0.9335135135135139","1","1","1"
"285","0.9324324324324322","0.9324324324324322","0.9324324324324322","1","1","1"
"287","0.9399999999999998","0.9399999999999998","0.9399999999999998","1","1","1"
"289","0.9264864864864867","0.9264864864864867","0.9264864864864867","1","1","1"
"291","0.9316216216216215","0.9316216216216215","0.9316216216216215","1","1","1"
"293","0.9489189189189189","0.9489189189189189","0.9489189189189189","1","1","1"
"295","0.9402702702702702","0.9402702702702702","0.9402702702702702","1","1","1"
"297","0.9454054054054055","0.9454054054054055","0.9454054054054055","1","1","1"
"299","0.9448648648648649","0.9448648648648649","0.9448648648648649","1","1","1"
"301","0.9399999999999998","0.9399999999999998","0.9399999999999998","1","1","1"
"303","0.9378378378378377","0.9378378378378377","0.9378378378378377","1","1","1"
"305","0.9378378378378377","0.9378378378378377","0.9378378378378377","1","1","1"
"307","0.9345945945945944","0.9345945945945944","0.9345945945945944","1","1","1"
"309","0.9416216216216216","0.9416216216216216","0.9416216216216216","1","1","1"
"311","0.9308108108108107","0.9308108108108107","0.9308108108108107","1","1","1"
