audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_16block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy,,audio_8block,Epoch,peachy-resonance-2 - train_accuracy__MAX,val_accuracy
,184,0.776453527,0.824390244,,,184,0.714831905,0.756097561,,,,,,,,,,
,185,0.775583388,0.816585366,,,185,0.713909031,0.748292683,,,,,,,,,,
,186,0.776638102,0.79902439,,,186,0.716255768,0.743414634,,,,,,,,,,
,187,0.7781147,0.788292683,,,187,0.717732367,0.76097561,,,,,,,,,,
,188,0.778035597,0.790243902,,,188,0.717231378,0.755121951,,,,,,,,,,
,189,0.779512195,0.766829268,,,189,0.717600527,0.745365854,,,,,,,,,,
,190,0.777771918,0.780487805,,,190,0.715596572,0.741463415,,,,,,,,,,
,191,0.779538563,0.790243902,,,191,0.71599209,0.741463415,,,,,,,,,,
,192,0.777613711,0.786341463,,,192,0.718707976,0.736585366,,,,,,,,,,
,193,0.77969677,0.8,,,193,0.720685564,0.741463415,,,,,,,,,,
,194,0.779512195,0.80195122,,,194,0.718813448,0.736585366,,,,,,,,,,
,195,0.780435069,0.808780488,,,195,0.720711931,0.756097561,,,,,,,,,,
,196,0.783388266,0.804878049,,,196,0.722742254,0.766829268,,,,,,,,,,
,197,0.781806196,0.814634146,,,197,0.719208965,0.773658537,,,,,,,,,,
,198,0.781621622,0.806829268,,,198,0.718576137,0.763902439,,,,,,,,,,
,199,0.787976269,0.791219512,,,199,0.726855636,0.756097561,,,,,,,,,,
,200,0.784627554,0.795121951,,,200,0.72474621,0.75804878,,,,,,,,,,
,201,0.782307185,0.787317073,,,201,0.721107449,0.768780488,,,,,,,,,,
,202,0.780540541,0.783414634,,,202,0.721265656,0.769756098,,,,,,,,,,
,203,0.78407383,0.811707317,,,203,0.724113382,0.772682927,,,,,,,,,,
,204,0.788635465,0.827317073,,,204,0.727620303,0.76195122,,,,,,,,,,
,205,0.788292683,0.809756098,,,205,0.725932762,0.762926829,,,,,,,,,,
,206,0.788108108,0.818536585,,,206,0.725827291,0.752195122,,,,,,,,,,
,207,0.789136454,0.823414634,,,207,0.726671061,0.764878049,,,,,,,,,,
,208,0.789584707,0.803902439,,,208,0.726961107,0.76195122,,,,,,,,,,
,209,0.786183256,0.791219512,,,209,0.724825313,0.739512195,,,,,,,,,,
,210,0.787686223,0.807804878,,,210,0.726512854,0.755121951,,,,,,,,,,
