"Step","decent-capybara-1 - train_accuracy","decent-capybara-1 - train_accuracy__MIN","decent-capybara-1 - train_accuracy__MAX","decent-capybara-1 - val_accuracy","decent-capybara-1 - val_accuracy__MIN","decent-capybara-1 - val_accuracy__MAX"
"331","0.9027027027027027","0.9027027027027027","0.9027027027027027","1","1","1"
"333","0.9064864864864864","0.9064864864864864","0.9064864864864864","1","1","1"
"335","0.8945945945945944","0.8945945945945944","0.8945945945945944","1","1","1"
"337","0.8967567567567567","0.8967567567567567","0.8967567567567567","1","1","1"
"339","0.8897297297297297","0.8897297297297297","0.8897297297297297","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"341","0.8867567567567566","0.8867567567567566","0.8867567567567566","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"343","0.8854054054054056","0.8854054054054056","0.8854054054054056","1","1","1"
"345","0.8981081081081084","0.8981081081081084","0.8981081081081084","1","1","1"
"347","0.9159459459459458","0.9159459459459458","0.9159459459459458","1","1","1"
"349","0.9021621621621623","0.9021621621621623","0.9021621621621623","1","1","1"
"351","0.9035135135135137","0.9035135135135137","0.9035135135135137","1","1","1"
"353","0.8986486486486488","0.8986486486486488","0.8986486486486488","1","1","1"
"355","0.9072972972972974","0.9072972972972974","0.9072972972972974","1","1","1"
"357","0.9027027027027028","0.9027027027027028","0.9027027027027028","1","1","1"
"359","0.9156756756756758","0.9156756756756758","0.9156756756756758","1","1","1"
"361","0.9170270270270272","0.9170270270270272","0.9170270270270272","1","1","1"
"363","0.9132432432432432","0.9132432432432432","0.9132432432432432","1","1","1"
"365","0.9018918918918918","0.9018918918918918","0.9018918918918918","1","1","1"
"367","0.9140540540540543","0.9140540540540543","0.9140540540540543","1","1","1"
"369","0.914864864864865","0.914864864864865","0.914864864864865","1","1","1"
"371","0.9208108108108106","0.9208108108108106","0.9208108108108106","1","1","1"
"373","0.8986486486486487","0.8986486486486487","0.8986486486486487","1","1","1"
"375","0.9145945945945945","0.9145945945945945","0.9145945945945945","1","1","1"
"377","0.9183783783783783","0.9183783783783783","0.9183783783783783","1","1","1"
"379","0.9200000000000002","0.9200000000000002","0.9200000000000002","1","1","1"
"381","0.9054054054054054","0.9054054054054054","0.9054054054054054","1","1","1"
"383","0.924594594594595","0.924594594594595","0.924594594594595","1","1","1"
"385","0.9186486486486487","0.9186486486486487","0.9186486486486487","1","1","1"
"387","0.9175675675675676","0.9175675675675676","0.9175675675675676","1","1","1"
"389","0.9127027027027028","0.9127027027027028","0.9127027027027028","1","1","1"
"391","0.9162162162162164","0.9162162162162164","0.9162162162162164","1","1","1"
"393","0.917837837837838","0.917837837837838","0.917837837837838","1","1","1"
"395","0.908918918918919","0.908918918918919","0.908918918918919","1","1","1"
"397","0.9108108108108113","0.9108108108108113","0.9108108108108113","0.9899999999999997","0.9899999999999997","0.9899999999999997"
"399","0.91","0.91","0.91","1","1","1"
"401","0.9221621621621623","0.9221621621621623","0.9221621621621623","1","1","1"
"403","0.9224324324324321","0.9224324324324321","0.9224324324324321","1","1","1"
"405","0.9202702702702702","0.9202702702702702","0.9202702702702702","1","1","1"
"407","0.9235135135135135","0.9235135135135135","0.9235135135135135","1","1","1"
"409","0.9221621621621618","0.9221621621621618","0.9221621621621618","1","1","1"
"411","0.9143243243243244","0.9143243243243244","0.9143243243243244","1","1","1"
"413","0.9221621621621623","0.9221621621621623","0.9221621621621623","1","1","1"
"415","0.9324324324324327","0.9324324324324327","0.9324324324324327","1","1","1"
"417","0.931081081081081","0.931081081081081","0.931081081081081","1","1","1"
"419","0.9329729729729731","0.9329729729729731","0.9329729729729731","1","1","1"
"421","0.9332432432432433","0.9332432432432433","0.9332432432432433","1","1","1"
"423","0.9364864864864867","0.9364864864864867","0.9364864864864867","1","1","1"
"425","0.9283783783783784","0.9283783783783784","0.9283783783783784","1","1","1"
"427","0.9308108108108112","0.9308108108108112","0.9308108108108112","1","1","1"
"429","0.9218918918918922","0.9218918918918922","0.9218918918918922","1","1","1"
"431","0.9194594594594592","0.9194594594594592","0.9194594594594592","1","1","1"
"433","0.9167567567567568","0.9167567567567568","0.9167567567567568","1","1","1"
"435","0.9213513513513515","0.9213513513513515","0.9213513513513515","1","1","1"
"437","0.9243243243243244","0.9243243243243244","0.9243243243243244","1","1","1"
"439","0.9329729729729729","0.9329729729729729","0.9329729729729729","1","1","1"
"441","0.9264864864864866","0.9264864864864866","0.9264864864864866","1","1","1"
"443","0.921891891891892","0.921891891891892","0.921891891891892","1","1","1"
"445","0.9278378378378378","0.9278378378378378","0.9278378378378378","1","1","1"
"447","0.9291891891891892","0.9291891891891892","0.9291891891891892","1","1","1"
"449","0.9313513513513512","0.9313513513513512","0.9313513513513512","1","1","1"
"451","0.9356756756756756","0.9356756756756756","0.9356756756756756","1","1","1"
"453","0.9264864864864866","0.9264864864864866","0.9264864864864866","1","1","1"
"455","0.93","0.93","0.93","1","1","1"
"457","0.9345945945945946","0.9345945945945946","0.9345945945945946","1","1","1"
"459","0.9329729729729731","0.9329729729729731","0.9329729729729731","1","1","1"
"461","0.9224324324324323","0.9224324324324323","0.9224324324324323","1","1","1"
"463","0.9370270270270269","0.9370270270270269","0.9370270270270269","1","1","1"
"465","0.9256756756756759","0.9256756756756759","0.9256756756756759","1","1","1"
"467","0.9362162162162164","0.9362162162162164","0.9362162162162164","1","1","1"
"469","0.9370270270270271","0.9370270270270271","0.9370270270270271","1","1","1"
"471","0.9345945945945947","0.9345945945945947","0.9345945945945947","1","1","1"
"473","0.9335135135135136","0.9335135135135136","0.9335135135135136","1","1","1"
"475","0.9294594594594595","0.9294594594594595","0.9294594594594595","1","1","1"
"477","0.9375675675675673","0.9375675675675673","0.9375675675675673","1","1","1"
"479","0.9443243243243244","0.9443243243243244","0.9443243243243244","1","1","1"
"481","0.9343243243243243","0.9343243243243243","0.9343243243243243","1","1","1"
"483","0.9329729729729731","0.9329729729729731","0.9329729729729731","1","1","1"
"485","0.938918918918919","0.938918918918919","0.938918918918919","1","1","1"
"487","0.9254054054054055","0.9254054054054055","0.9254054054054055","1","1","1"
"489","0.9297297297297297","0.9297297297297297","0.9297297297297297","1","1","1"
"491","0.931891891891892","0.931891891891892","0.931891891891892","1","1","1"
"493","0.9445945945945945","0.9445945945945945","0.9445945945945945","1","1","1"
"495","0.9459459459459462","0.9459459459459462","0.9459459459459462","1","1","1"
"497","0.9427027027027027","0.9427027027027027","0.9427027027027027","1","1","1"
"499","0.9340540540540543","0.9340540540540543","0.9340540540540543","1","1","1"
