stripe_1block95raito,Epoch,stilted-spaceship-1 - train_accuracy__MAX,val_accuracy
,632,0.897297297,0.91
,633,0.901351351,0.91
,634,0.901351351,0.91
,635,0.902702703,0.91
,636,0.899189189,0.91
,637,0.902702703,0.9
,638,0.906216216,0.9
,639,0.906756757,0.91
,640,0.904324324,0.9
,641,0.903783784,0.9
,642,0.905675676,0.92
,643,0.905405405,0.91
,644,0.91,0.9
,645,0.909459459,0.91
,646,0.905135135,0.9
,647,0.911621622,0.9
,648,0.906216216,0.93
,649,0.91,0.92
,650,0.908918919,0.93
,651,0.907837838,0.92
,652,0.905945946,0.91
,653,0.908918919,0.93
,654,0.912162162,0.94
,655,0.911351351,0.92
,656,0.910540541,0.92
,657,0.910810811,0.93
,658,0.914594595,0.93
,659,0.913243243,0.93
,660,0.906486486,0.93
,661,0.913243243,0.93
,662,0.909459459,0.93
,663,0.908648649,0.93
,664,0.908648649,0.94
,665,0.912162162,0.93
,666,0.914864865,0.93
,667,0.91027027,0.92
,668,0.911081081,0.92
,669,0.916756757,0.92
,670,0.912162162,0.91
,671,0.912162162,0.9
,672,0.916216216,0.91
,673,0.916756757,0.92
,674,0.915405405,0.92
,675,0.915675676,0.93
,676,0.916216216,0.92
,677,0.908378378,0.93
,678,0.916216216,0.92
,679,0.915405405,0.92
,680,0.917027027,0.92
,681,0.919189189,0.92
,682,0.915405405,0.92
,683,0.915675676,0.92
,684,0.91972973,0.92
,685,0.918108108,0.92
,686,0.915945946,0.92
,687,0.916486486,0.92
,688,0.91972973,0.94
,689,0.918918919,0.94
,690,0.919459459,0.94
,691,0.917567568,0.93
,692,0.918378378,0.94
,693,0.914864865,0.94
,694,0.921891892,0.95
,695,0.918108108,0.93
,696,0.918648649,0.93
,697,0.921891892,0.93
,698,0.918918919,0.92
,699,0.92,0.92
,700,0.92,0.93
,701,0.92,0.93
,702,0.918918919,0.92
,703,0.91972973,0.93
,704,0.918648649,0.94
,705,0.922162162,0.92
,706,0.918378378,0.94
,707,0.921891892,0.93
,708,0.923783784,0.94
,709,0.924594595,0.95
,710,0.921351351,0.95
,711,0.921351351,0.94
,712,0.921621622,0.93
,713,0.919459459,0.94
,714,0.923783784,0.93
,715,0.924864865,0.93
,716,0.923783784,0.93
,717,0.920540541,0.94
,718,0.922432432,0.94
,719,0.922972973,0.94
,720,0.920810811,0.94
,721,0.924864865,0.94
,722,0.924324324,0.93
,723,0.925675676,0.93
,724,0.922702703,0.94
,725,0.922162162,0.94
,726,0.922972973,0.94
,727,0.927027027,0.95
,728,0.926756757,0.95
,729,0.921621622,0.94
,730,0.926756757,0.95
,731,0.926216216,0.95
,732,0.924054054,0.93
,733,0.925945946,0.93
,734,0.922972973,0.93
,735,0.92972973,0.93
,736,0.928918919,0.93
,737,0.925945946,0.94
,738,0.927567568,0.94
,739,0.926216216,0.93
,740,0.930810811,0.93
,741,0.927567568,0.94
,742,0.930540541,0.93
,743,0.929459459,0.95
,744,0.931081081,0.96
,745,0.928108108,0.93
,746,0.928918919,0.93
,747,0.927297297,0.94
,748,0.931081081,0.94
,749,0.931351351,0.94
,750,0.927027027,0.94
,751,0.929189189,0.93
,752,0.928108108,0.95
,753,0.924054054,0.95
,754,0.930540541,0.94
,755,0.933513514,0.95
,756,0.930810811,0.94
,757,0.931621622,0.94
,758,0.926756757,0.94
,759,0.929189189,0.94
,760,0.928648649,0.94
,761,0.930810811,0.93
,762,0.92972973,0.94
,763,0.931891892,0.91
,764,0.928108108,0.9
,765,0.932972973,0.91
,766,0.93027027,0.92
,767,0.927567568,0.92
,768,0.928108108,0.94
,769,0.931621622,0.94
,770,0.928378378,0.93
,771,0.929459459,0.92
,772,0.933243243,0.92
,773,0.932432432,0.94
,774,0.931081081,0.95
,775,0.931891892,0.95
,776,0.935135135,0.96
,777,0.930540541,0.95
,778,0.932702703,0.95
,779,0.936756757,0.96
,780,0.933783784,0.95
,781,0.933243243,0.95
,782,0.936756757,0.94
,783,0.933243243,0.94
,784,0.932702703,0.96
